epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,15237.9,0.79826,0.45199,1.01741,0.89457,0.87137,0.92513,0.68694,0.97776,0.62452,1.12011,0.0011981,0.0011981,0.0011981
83,15425.3,0.79377,0.45993,1.01546,0.92227,0.87552,0.91795,0.6808,0.99824,0.5831,1.13989,0.0011882,0.0011882,0.0011882
84,15602,0.78338,0.453,1.00817,0.87817,0.86722,0.90433,0.65523,1.03928,0.6539,1.15094,0.0011783,0.0011783,0.0011783
85,15781.2,0.79396,0.46071,1.00951,0.89087,0.84685,0.90057,0.66636,0.97582,0.61035,1.14486,0.0011684,0.0011684,0.0011684
86,15954.8,0.78231,0.45091,1.00488,0.89056,0.82988,0.90976,0.6878,0.96088,0.60402,1.10948,0.0011585,0.0011585,0.0011585
87,16132.8,0.78058,0.45031,1.0097,0.87417,0.86722,0.92294,0.66409,0.99774,0.64789,1.13164,0.0011486,0.0011486,0.0011486
88,16305.1,0.77008,0.44518,1.00082,0.88118,0.89212,0.93343,0.70755,0.9421,0.61135,1.08702,0.0011387,0.0011387,0.0011387
89,16476.9,0.78273,0.45517,1.00757,0.91457,0.87967,0.93447,0.71387,0.90614,0.58291,1.08303,0.0011288,0.0011288,0.0011288
90,16658.8,0.7487,0.43004,0.99562,0.83908,0.88797,0.91515,0.67213,0.93289,0.61509,1.10826,0.0011189,0.0011189,0.0011189
91,16826.5,0.7504,0.43904,0.99775,0.91971,0.85553,0.91951,0.69311,0.9402,0.57016,1.0999,0.001109,0.001109,0.001109
92,16999,0.73076,0.42543,0.98628,0.90375,0.89627,0.92606,0.71009,0.92022,0.55727,1.11249,0.0010991,0.0010991,0.0010991
93,17172.6,0.73585,0.43475,0.98758,0.87356,0.88866,0.92206,0.70484,0.87542,0.54463,1.06801,0.0010892,0.0010892,0.0010892
94,17342.8,0.73915,0.43037,0.98479,0.89808,0.90041,0.92258,0.6935,1.00194,0.57522,1.13779,0.0010793,0.0010793,0.0010793
95,17517.2,0.76102,0.43393,0.99773,0.88489,0.88382,0.92413,0.69199,1.00063,0.56534,1.17385,0.0010694,0.0010694,0.0010694
96,17700.6,0.73493,0.43291,0.98932,0.89006,0.90871,0.93491,0.71279,0.93868,0.5733,1.09801,0.0010595,0.0010595,0.0010595
97,17868.7,0.73706,0.427,0.98526,0.91414,0.87967,0.93465,0.71173,0.87746,0.54419,1.06085,0.0010496,0.0010496,0.0010496
98,18057.2,0.74132,0.42145,0.99276,0.90174,0.91393,0.92921,0.71122,0.89067,0.5282,1.07458,0.0010397,0.0010397,0.0010397
99,18251.6,0.71481,0.41162,0.97229,0.92387,0.88382,0.93144,0.71772,0.86435,0.5036,1.05882,0.0010298,0.0010298,0.0010298
100,18408.4,0.69409,0.40623,0.96665,0.87744,0.90041,0.91981,0.68425,0.92833,0.57838,1.09747,0.0010199,0.0010199,0.0010199
101,18579,0.7137,0.41195,0.96928,0.88975,0.90871,0.93226,0.70354,0.93048,0.52854,1.10454,0.00101,0.00101,0.00101
102,18749.8,0.71233,0.41524,0.97904,0.90006,0.88797,0.91641,0.71328,0.86879,0.5704,1.07536,0.0010001,0.0010001,0.0010001
103,18939,0.72799,0.42494,0.98652,0.9323,0.86722,0.90787,0.6838,0.90074,0.50936,1.07255,0.0009902,0.0009902,0.0009902
